,group_label,stat_label,motion_label,representative_feature
blob_hu4_w_forward_90th,69,90th,forward,False
blob_hu4_w_forward_IQR,69,IQR,forward,False
blob_hu4_w_paused_10th,56,10th,paused,False
blob_hu4_w_paused_50th,56,50th,paused,False
blob_hu4_w_paused_90th,22,90th,paused,False
blob_hu4_w_paused_IQR,22,IQR,paused,False
blob_hu5_10th,94,10th,none,False
blob_hu5_50th,15,50th,none,False
blob_hu5_90th,15,90th,none,False
blob_hu5_IQR,15,IQR,none,False
blob_hu5_w_backward_10th,94,10th,backward,False
blob_hu5_w_backward_50th,49,50th,backward,False
blob_hu5_w_backward_90th,20,90th,backward,False
blob_hu5_w_backward_IQR,20,IQR,backward,False
blob_hu5_w_forward_10th,94,10th,forward,False
blob_hu5_w_forward_50th,15,50th,forward,False
blob_hu5_w_forward_90th,69,90th,forward,False
blob_hu5_w_forward_IQR,69,IQR,forward,False
blob_hu5_w_paused_10th,56,10th,paused,False
blob_hu5_w_paused_50th,56,50th,paused,False
blob_hu5_w_paused_90th,22,90th,paused,False
blob_hu5_w_paused_IQR,22,IQR,paused,True
blob_hu6_10th,94,10th,none,False
blob_hu6_50th,47,50th,none,False
blob_hu6_90th,71,90th,none,False
blob_hu6_IQR,71,IQR,none,False
blob_hu6_w_backward_10th,81,10th,backward,False
blob_hu6_w_backward_50th,36,50th,backward,False
blob_hu6_w_backward_90th,20,90th,backward,False
blob_hu6_w_backward_IQR,20,IQR,backward,False
blob_hu6_w_forward_10th,94,10th,forward,False
blob_hu6_w_forward_50th,47,50th,forward,False
blob_hu6_w_forward_90th,71,90th,forward,False
blob_hu6_w_forward_IQR,69,IQR,forward,False
blob_hu6_w_paused_10th,64,10th,paused,True
blob_hu6_w_paused_50th,47,50th,paused,True
blob_hu6_w_paused_90th,22,90th,paused,False
blob_hu6_w_paused_IQR,22,IQR,paused,False
blob_perimeter_10th,73,10th,none,False
blob_perimeter_50th,73,50th,none,False
blob_perimeter_90th,13,90th,none,False
blob_perimeter_IQR,13,IQR,none,False
blob_perimeter_w_backward_10th,73,10th,backward,False
blob_perimeter_w_backward_50th,73,50th,backward,False
blob_perimeter_w_backward_90th,13,90th,backward,False
blob_perimeter_w_backward_IQR,13,IQR,backward,False
blob_perimeter_w_forward_10th,73,10th,forward,False
blob_perimeter_w_forward_50th,73,50th,forward,False
blob_perimeter_w_forward_90th,13,90th,forward,False
blob_perimeter_w_forward_IQR,11,IQR,forward,False
blob_perimeter_w_paused_10th,65,10th,paused,False
blob_perimeter_w_paused_50th,65,50th,paused,False
blob_perimeter_w_paused_90th,9,90th,paused,False
blob_perimeter_w_paused_IQR,13,IQR,paused,False
blob_quirkiness_10th,74,10th,none,False
blob_quirkiness_50th,74,50th,none,True
blob_quirkiness_90th,74,90th,none,False
blob_quirkiness_IQR,25,IQR,none,False
blob_quirkiness_w_backward_10th,74,10th,backward,False
blob_quirkiness_w_backward_50th,74,50th,backward,False
blob_quirkiness_w_backward_90th,74,90th,backward,False
blob_quirkiness_w_backward_IQR,25,IQR,backward,False
blob_quirkiness_w_forward_10th,91,10th,forward,False
blob_quirkiness_w_forward_50th,91,50th,forward,False
blob_quirkiness_w_forward_90th,74,90th,forward,False
blob_quirkiness_w_forward_IQR,25,IQR,forward,False
blob_quirkiness_w_paused_10th,74,10th,paused,False
blob_quirkiness_w_paused_50th,74,50th,paused,False
blob_quirkiness_w_paused_90th,74,90th,paused,False
blob_quirkiness_w_paused_IQR,7,IQR,paused,False
blob_solidity_10th,94,10th,none,False
blob_solidity_50th,94,50th,none,False
blob_solidity_90th,94,90th,none,False
blob_solidity_IQR,11,IQR,none,False
blob_solidity_w_backward_10th,94,10th,backward,False
blob_solidity_w_backward_50th,94,50th,backward,False
blob_solidity_w_backward_90th,94,90th,backward,False
blob_solidity_w_backward_IQR,13,IQR,backward,False
blob_solidity_w_forward_10th,94,10th,forward,False
blob_solidity_w_forward_50th,94,50th,forward,False
blob_solidity_w_forward_90th,94,90th,forward,False
blob_solidity_w_forward_IQR,11,IQR,forward,False
blob_solidity_w_paused_10th,94,10th,paused,False
blob_solidity_w_paused_50th,94,50th,paused,False
blob_solidity_w_paused_90th,13,90th,paused,False
blob_solidity_w_paused_IQR,13,IQR,paused,False
curvature_head_abs_10th,41,10th,none,False
curvature_head_abs_50th,41,50th,none,False
curvature_head_abs_90th,62,90th,none,False
curvature_head_abs_IQR,62,IQR,none,False
curvature_head_norm_abs_10th,41,10th,none,False
curvature_head_norm_abs_50th,41,50th,none,False
curvature_head_norm_abs_90th,62,90th,none,False
curvature_head_norm_abs_IQR,62,IQR,none,False
curvature_head_w_backward_abs_10th,41,10th,backward,False
curvature_head_w_backward_abs_50th,41,50th,backward,False
curvature_head_w_backward_abs_90th,60,90th,backward,False
curvature_head_w_backward_abs_IQR,60,IQR,backward,False
curvature_head_w_forward_abs_10th,41,10th,forward,False
curvature_head_w_forward_abs_50th,41,50th,forward,False
curvature_head_w_forward_abs_90th,62,90th,forward,False
curvature_head_w_forward_abs_IQR,62,IQR,forward,False
curvature_head_w_paused_abs_10th,40,10th,paused,False
curvature_head_w_paused_abs_50th,40,50th,paused,False
curvature_head_w_paused_abs_90th,58,90th,paused,False
curvature_head_w_paused_abs_IQR,58,IQR,paused,False
curvature_hips_abs_10th,29,10th,none,False
curvature_hips_abs_50th,29,50th,none,False
curvature_hips_abs_90th,18,90th,none,False
curvature_hips_abs_IQR,18,IQR,none,False
