imaging_plate_row,imaging_plate_column,well_name,imaging_plate_id,start_well,end_well,worm_strain,bacteria_strain,wormsorter_start_time,wormsorter_end_time,middle_wormsorter_time,cave_time,recording_time,media_type,number_worms_per_well,date_bleached_yyyymmdd,date_refed_yyyymmdd,days_in_diapause,cave_temp_oC,cave_humidity_percent,date_plates_poured_yyyymmdd,comments,start_row,end_row,start_column,end_column
H,5,H5,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,6,H6,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,7,H7,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,8,H8,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,9,H9,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,10,H10,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,11,H11,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
H,12,H12,L01_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,1,A1,L02_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
A,2,A2,L02_sh01_01,A1,H12,ED3017,OP50,10:40,11:00,10:50,14:20,14:50,LPNGM,3,20200214,20200217,2,,,20200211,,A,H,1,12
