source_slot,source_well,destination_slot,destination_well,volume
2,A11,7,A9,3
2,B11,7,B9,3
2,C11,7,C9,3
2,D11,7,D9,3
2,E11,7,E9,3
2,F11,7,F9,3
2,G11,7,G9,3
2,H11,7,H9,3
2,A12,7,A1,3
2,B12,7,B1,3
2,C12,7,C1,3
2,D12,7,D1,3
2,E12,7,E1,3
2,F12,7,F1,3
2,G12,7,G1,3
2,H12,7,H1,3
9,A1,10,A2,5
9,B1,10,B2,5
9,C1,10,C2,5
9,D1,10,D2,5
9,E1,10,E2,5
9,F1,10,F2,5
9,G1,10,G2,5
9,H1,10,H2,5
9,A1,10,A9,5
9,B1,10,B9,5
9,C1,10,C9,5
9,D1,10,D9,5
9,E1,10,E9,5
9,F1,10,F9,5
9,G1,10,G9,5
9,H1,10,H9,5
9,A1,10,A3,5
9,B1,10,B3,5
9,C1,10,C3,5
9,D1,10,D3,5
9,E1,10,E3,5
9,F1,10,F3,5
9,G1,10,G3,5
9,H1,10,H3,5
9,A1,10,A4,5
9,B1,10,B4,5
9,C1,10,C4,5
9,D1,10,D4,5
9,E1,10,E4,5
9,F1,10,F4,5
9,G1,10,G4,5
9,H1,10,H4,5
9,A1,10,A10,5
9,B1,10,B10,5
9,C1,10,C10,5
9,D1,10,D10,5
9,E1,10,E10,5
9,F1,10,F10,5
9,G1,10,G10,5
9,H1,10,H10,5
9,A1,10,A11,5
9,B1,10,B11,5
9,C1,10,C11,5
9,D1,10,D11,5
9,E1,10,E11,5
9,F1,10,F11,5
9,G1,10,G11,5
9,H1,10,H11,5
9,A1,10,A7,5
9,B1,10,B7,5
9,C1,10,C7,5
9,D1,10,D7,5
9,E1,10,E7,5
9,F1,10,F7,5
9,G1,10,G7,5
9,H1,10,H7,5
9,A1,10,A6,5
9,B1,10,B6,5
9,C1,10,C6,5
9,D1,10,D6,5
9,E1,10,E6,5
9,F1,10,F6,5
9,G1,10,G6,5
9,H1,10,H6,5
9,A1,10,A5,5
9,B1,10,B5,5
9,C1,10,C5,5
9,D1,10,D5,5
9,E1,10,E5,5
9,F1,10,F5,5
9,G1,10,G5,5
9,H1,10,H5,5
9,A1,10,A8,5
9,B1,10,B8,5
9,C1,10,C8,5
9,D1,10,D8,5
9,E1,10,E8,5
9,F1,10,F8,5
9,G1,10,G8,5
9,H1,10,H8,5
9,A1,10,A12,5
9,B1,10,B12,5
9,C1,10,C12,5
9,D1,10,D12,5
9,E1,10,E12,5
9,F1,10,F12,5
9,G1,10,G12,5
9,H1,10,H12,5
9,A1,10,A1,5
9,B1,10,B1,5
9,C1,10,C1,5
9,D1,10,D1,5
9,E1,10,E1,5
9,F1,10,F1,5
9,G1,10,G1,5
9,H1,10,H1,5
2,A1,10,A2,3
2,B1,10,B2,3
2,C1,10,C2,3
2,D1,10,D2,3
2,E1,10,E2,3
2,F1,10,F2,3
2,G1,10,G2,3
2,H1,10,H2,3
2,A2,10,A9,3
2,B2,10,B9,3
2,C2,10,C9,3
2,D2,10,D9,3
2,E2,10,E9,3
