masked_video,run_number,wells_checked
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152408.22956836/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152408.22956822/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152408.22956839/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152430.22956818/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152430.22956832/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152430.22956816/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152430.22956805/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152430.22956813/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152430.22956807/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152520.22956819/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152520.22956827/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152520.22956814/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152520.22956823/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152520.22956833/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152520.22956840/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152721.22594548/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152721.22594549/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152721.22594559/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152721.22594546/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152721.22594547/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run3_prestim_20191213_152721.22436248/metadata.hdf5,3,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155311.22956817/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155311.22956834/metadata.hdf5,4,TRUE
